section_codename,section_name,field_label,field_name,required,row_position,column_position
business_information,Business Information,Business Name_FO,business_name_fo,,1,1
business_information,Business Information,Business Name,business_name,Y,2,1
business_information,Business Information,Business Type,business_type,,3,1
business_information,Business Information,Business start date(YYYYMMDD),customer_reported_business_start_date,Y,4,1
business_information,Business Information,Months in this location,business_age_in_month_in_this_location,Y,5,1
business_information,Business Information,Business Address,business_address,Y,6,1
business_information,Business Information,Business Ownership Type,business_ownership_type,,7,1
business_information,Business Information,Business Ownership Share (%),business_ownership_share_pct,,8,1
business_information,Business information,Does the owner have Trade License?,has_trade_license,Y,9,1
business_information,Business Information,Shop Ownership,shop_ownership,Y,10,1
business_information,Business Information,Shop Structure,shop_structure,Y,11,1
business_information,Business Information,Monthly Physical Sales,customer_reported_average_monthly_physical_sales_amt,Y,12,1
business_information,Business Information,Monthly Digital Sales,customer_reported_average_monthly_digital_sales_amt,,13,1
business_information,Business Information,Customer Reported Average Monthly Sales Amount,customer_reported_average_monthly_sales_amount,,14,1
business_information,Business Information,Physical Inventory Value,customer_reported_physical_inventory_amount,,15,1
business_information,Business Information,Digital Inventory Value,customer_reported_digital_inventory_amount,,16,1
business_information,Business Information,Business Inventory Amount,business_inventory_amount,,17,1
business_information,Business Information,A/C Receivable (Tally Khata),ac_receivable,Y,18,1
business_information,Business Information,A/C Payable,ac_payable,Y,19,1
business_information,Business Information,No Of Employees,no_of_employees,,20,1
business_information,Business Information,Shop Area (sqft),shop_area_in_sqft,Y,21,1
business_information,Business Information,Employee Salary And Wages Amount,employee_salary_and_wages_amount,Y,22,1
business_information,Business Information,"Monthly Business Running Expense [ex: utility bill, rent]",customer_reported_monthly_business_running_expenses_amount,Y,23,1
business_information,Business Information,Gross Profit Margin,gross_profit_margin,,24,1
business_information,Business Information,Net Profit,net_profit,Y,25,1
business_information,Business Information,Net Profit From Other Sources,net_profit_from_other_sources,Y,26,1
personal_information,Personal Information,Applicant Name English,applicant_name_english,Y,1,1
personal_information,Personal Information,Gender,gender,Y,2,1
personal_information,Personal Information,Applicant's Religion,applicant_religion,Y,3,1
personal_information,Personal Information,Marital Status Personal,marital_status_personal,Y,4,1
